Death Penalty Status,Murder Rate,Number of Records,Region,State,Year
Death Penalty,1.06,1,Northeast,New Hampshire,1/1/2008
Death Penalty,5.66,1,Northeast,Pennsylvania,1/1/2008
Death Penalty,3.01,1,Northeast,Connecticut,1/1/2009
Death Penalty,0.83,1,Northeast,New Hampshire,1/1/2009
Death Penalty,5.27,1,Northeast,Pennsylvania,1/1/2009
Death Penalty,3.72,1,Northeast,Connecticut,1/1/2010
Death Penalty,0.99,1,Northeast,New Hampshire,1/1/2010
Death Penalty,5.13,1,Northeast,Pennsylvania,1/1/2010
Death Penalty,3.6,1,Northeast,Connecticut,1/1/2011
Death Penalty,1.21,1,Northeast,New Hampshire,1/1/2011
Death Penalty,5.01,1,Northeast,Pennsylvania,1/1/2011
Death Penalty,1.13,1,Northeast,New Hampshire,1/1/2012
Death Penalty,5.54,1,Northeast,Pennsylvania,1/1/2012
Death Penalty,1.59,1,Northeast,New Hampshire,1/1/2013
Death Penalty,4.78,1,Northeast,Pennsylvania,1/1/2013
Death Penalty,0.9,1,Northeast,New Hampshire,1/1/2014
Death Penalty,4.8,1,Northeast,Pennsylvania,1/1/2014
Death Penalty,1.13,1,Northeast,New Hampshire,1/1/2015
Death Penalty,5.2,1,Northeast,Pennsylvania,1/1/2015
Death Penalty,1.42,1,Northeast,New Hampshire,1/1/2016
Death Penalty,5.27,1,Northeast,Pennsylvania,1/1/2016
Death Penalty,1.04,1,Northeast,New Hampshire,1/1/2017
Death Penalty,5.77,1,Northeast,Pennsylvania,1/1/2017
Death Penalty,6.09,1,South,North Carolina,1/1/2006
Death Penalty,5.87,1,South,Oklahoma,1/1/2006
Death Penalty,8.38,1,South,South Carolina,1/1/2006
Death Penalty,6.94,1,South,Tennessee,1/1/2006
Death Penalty,5.9,1,South,Texas,1/1/2006
Death Penalty,5.27,1,South,Virginia,1/1/2006
Death Penalty,8.9,1,South,Alabama,1/1/2007
Death Penalty,6.98,1,South,Arkansas,1/1/2007
Death Penalty,4.51,1,South,Delaware,1/1/2007
Death Penalty,6.59,1,South,Florida,1/1/2007
Death Penalty,7.54,1,South,Georgia,1/1/2007
Death Penalty,4.86,1,South,Kentucky,1/1/2007
Death Penalty,14.56,1,South,Louisiana,1/1/2007
Death Penalty,9.86,1,South,Maryland,1/1/2007
Death Penalty,6.92,1,South,Mississippi,1/1/2007
Death Penalty,6.45,1,South,North Carolina,1/1/2007
Death Penalty,6.19,1,South,Oklahoma,1/1/2007
Death Penalty,8.26,1,South,South Carolina,1/1/2007
Death Penalty,6.58,1,South,Tennessee,1/1/2007
Death Penalty,5.94,1,South,Texas,1/1/2007
Death Penalty,5.38,1,South,Virginia,1/1/2007
Death Penalty,7.53,1,South,Alabama,1/1/2008
Death Penalty,5.78,1,South,Arkansas,1/1/2008
Death Penalty,6.53,1,South,Delaware,1/1/2008
Death Penalty,6.37,1,South,Florida,1/1/2008
Death Penalty,6.61,1,South,Georgia,1/1/2008
Death Penalty,4.71,1,South,Kentucky,1/1/2008
Death Penalty,12.33,1,South,Louisiana,1/1/2008
Death Penalty,8.75,1,South,Maryland,1/1/2008
Death Penalty,8.03,1,South,Mississippi,1/1/2008
Death Penalty,6.5,1,South,North Carolina,1/1/2008
Death Penalty,5.9,1,South,Oklahoma,1/1/2008
Death Penalty,6.85,1,South,South Carolina,1/1/2008
Death Penalty,6.63,1,South,Tennessee,1/1/2008
Death Penalty,5.63,1,South,Texas,1/1/2008
Death Penalty,4.76,1,South,Virginia,1/1/2008
Death Penalty,6.84,1,South,Alabama,1/1/2009
Death Penalty,6.19,1,South,Arkansas,1/1/2009
Death Penalty,4.63,1,South,Delaware,1/1/2009
Death Penalty,5.49,1,South,Florida,1/1/2009
Death Penalty,5.76,1,South,Georgia,1/1/2009
Death Penalty,4.27,1,South,Kentucky,1/1/2009
Death Penalty,11.78,1,South,Louisiana,1/1/2009
Death Penalty,7.72,1,South,Maryland,1/1/2009
Death Penalty,6.57,1,South,Mississippi,1/1/2009
Death Penalty,5.21,1,South,North Carolina,1/1/2009
Death Penalty,6.35,1,South,Oklahoma,1/1/2009
Death Penalty,6.69,1,South,South Carolina,1/1/2009
Death Penalty,7.43,1,South,Tennessee,1/1/2009
Death Penalty,5.37,1,South,Texas,1/1/2009
Death Penalty,4.69,1,South,Virginia,1/1/2009
Death Penalty,5.75,1,South,Alabama,1/1/2010
Death Penalty,4.59,1,South,Arkansas,1/1/2010
Death Penalty,5.67,1,South,Delaware,1/1/2010
Death Penalty,5.24,1,South,Florida,1/1/2010
Death Penalty,5.71,1,South,Georgia,1/1/2010
Death Penalty,4.32,1,South,Kentucky,1/1/2010
Death Penalty,11,1,South,Louisiana,1/1/2010
Death Penalty,7.36,1,South,Maryland,1/1/2010
Death Penalty,6.87,1,South,Mississippi,1/1/2010
Death Penalty,4.96,1,South,North Carolina,1/1/2010
Death Penalty,5.19,1,South,Oklahoma,1/1/2010
Death Penalty,5.71,1,South,South Carolina,1/1/2010
Death Penalty,5.65,1,South,Tennessee,1/1/2010
Death Penalty,4.95,1,South,Texas,1/1/2010
Death Penalty,4.69,1,South,Virginia,1/1/2010
Death Penalty,6.22,1,South,Alabama,1/1/2011
