Death Penalty Status,Murder Rate,Number of Records,Region,State,Year
No Death Penalty,2.55,1,Northeast,Massachusetts,1/1/2008
No Death Penalty,4.33,1,Northeast,New Jersey,1/1/2008
No Death Penalty,4.29,1,Northeast,New York,1/1/2008
No Death Penalty,2.95,1,Northeast,Rhode Island,1/1/2008
No Death Penalty,2.74,1,Northeast,Vermont,1/1/2008
No Death Penalty,1.97,1,Northeast,Maine,1/1/2009
No Death Penalty,2.62,1,Northeast,Massachusetts,1/1/2009
No Death Penalty,3.66,1,Northeast,New Jersey,1/1/2009
No Death Penalty,4,1,Northeast,New York,1/1/2009
No Death Penalty,3.04,1,Northeast,Rhode Island,1/1/2009
No Death Penalty,1.29,1,Northeast,Vermont,1/1/2009
No Death Penalty,1.81,1,Northeast,Maine,1/1/2010
No Death Penalty,3.26,1,Northeast,Massachusetts,1/1/2010
No Death Penalty,4.22,1,Northeast,New Jersey,1/1/2010
No Death Penalty,4.48,1,Northeast,New York,1/1/2010
No Death Penalty,2.76,1,Northeast,Rhode Island,1/1/2010
No Death Penalty,1.12,1,Northeast,Vermont,1/1/2010
No Death Penalty,1.96,1,Northeast,Maine,1/1/2011
No Death Penalty,2.78,1,Northeast,Massachusetts,1/1/2011
No Death Penalty,4.3,1,Northeast,New Jersey,1/1/2011
No Death Penalty,3.94,1,Northeast,New York,1/1/2011
No Death Penalty,1.9,1,Northeast,Rhode Island,1/1/2011
No Death Penalty,1.76,1,Northeast,Vermont,1/1/2011
No Death Penalty,3.26,1,Northeast,Connecticut,1/1/2012
No Death Penalty,1.96,1,Northeast,Maine,1/1/2012
No Death Penalty,1.82,1,Northeast,Massachusetts,1/1/2012
No Death Penalty,4.38,1,Northeast,New Jersey,1/1/2012
No Death Penalty,3.49,1,Northeast,New York,1/1/2012
No Death Penalty,3.43,1,Northeast,Rhode Island,1/1/2012
