,State,Year,Unknown,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80-89,90-99
104,DE,2015,2,1,9,22,15,3,3,0,0,1,0
105,DE,2016,0,1,8,19,16,5,5,2,1,0,0
106,DE,2017,1,2,7,26,12,2,1,2,0,1,0
107,GA,2004,0,0,0,2,0,0,0,0,0,0,0
108,GA,2007,0,0,1,0,1,0,0,0,0,0,0
109,GA,2008,0,0,0,0,1,1,0,0,0,0,0
110,IA,1992,2,4,4,6,9,4,0,0,0,0,0
111,IA,1993,1,3,10,15,12,1,2,1,1,6,1
112,IA,1994,1,1,9,7,9,9,1,1,2,0,0
113,IA,1995,0,8,5,13,17,6,1,1,2,1,0
114,IA,1996,0,8,6,9,16,12,4,0,0,0,0
115,IA,1997,2,6,6,9,6,5,2,1,2,2,0
116,IA,1998,0,5,2,16,6,11,5,1,0,1,0
117,IA,1999,0,1,8,11,7,11,6,3,1,0,0
118,IA,2000,1,9,3,12,11,7,2,1,2,1,0
119,IA,2001,1,7,2,10,10,7,6,0,4,1,1
120,IA,2002,0,9,2,9,11,8,3,1,0,2,1
121,IA,2003,0,10,1,15,9,9,5,1,0,0,0
122,IA,2004,0,3,3,13,6,10,4,5,0,0,0
123,IA,2005,1,5,5,10,7,9,1,1,1,0,0
124,IA,2006,0,0,12,16,9,8,4,3,1,0,1
125,IA,2007,1,2,4,9,11,3,2,3,2,2,0
126,IA,2008,2,15,9,13,8,18,8,1,1,2,0
127,IA,2009,1,4,2,8,9,6,5,3,0,0,0
128,IA,2010,0,3,2,11,5,11,5,2,0,0,0
129,IA,2011,0,4,5,8,9,10,7,2,0,0,0
130,IA,2012,1,5,6,14,9,4,5,3,2,0,0
131,IA,2013,0,1,3,13,15,6,1,1,1,0,1
132,IA,2014,0,3,4,13,14,6,7,5,2,4,1
133,IA,2015,1,3,6,32,13,8,6,4,1,0,0
134,IA,2016,0,3,13,20,9,7,13,4,4,0,1
135,IA,2017,0,3,6,29,25,16,12,7,0,2,0
136,ID,1992,0,2,0,4,7,3,1,0,0,0,0
137,ID,1993,0,1,4,8,6,3,4,1,0,1,0
138,ID,1994,0,4,6,8,6,10,4,1,0,0,0
139,ID,1995,0,5,5,7,11,6,5,2,1,1,0
140,ID,1996,2,7,11,2,5,8,2,1,7,1,0
141,ID,1997,0,1,2,9,10,7,3,1,5,0,0
142,ID,1998,1,5,3,9,4,4,3,3,2,2,0
143,ID,1999,0,6,6,6,5,0,2,0,0,0,0
144,ID,2000,0,0,1,2,8,4,1,0,0,0,0
145,ID,2001,0,3,2,9,6,4,3,2,1,0,0
146,ID,2002,1,6,4,8,5,8,1,1,2,0,0
147,ID,2003,1,3,4,5,1,4,2,3,1,2,0
148,ID,2004,0,2,4,7,6,6,4,1,0,1,0
149,ID,2005,0,9,4,13,7,3,3,0,1,1,0
150,ID,2006,0,5,4,5,5,8,1,2,2,0,0
151,ID,2007,0,3,4,15,9,10,2,5,1,0,0
152,ID,2008,0,3,1,6,3,5,3,0,1,1,0
153,ID,2009,1,3,0,8,2,4,1,1,0,1,1
154,ID,2010,0,4,0,6,3,5,0,2,1,0,1
155,ID,2011,0,9,3,8,3,6,1,0,0,1,0
156,ID,2012,0,2,2,7,3,4,6,3,1,0,0
157,ID,2013,0,1,0,9,3,5,6,2,1,1,0
158,ID,2014,0,4,2,8,5,8,2,1,0,0,0
159,ID,2015,0,0,0,7,6,4,7,2,2,2,0
160,ID,2016,0,10,5,7,10,10,2,2,0,0,1
161,ID,2017,0,4,1,8,4,4,2,0,4,1,0
162,IL,1993,14,9,21,64,41,17,12,3,6,3,1
163,IL,1994,15,7,33,50,29,18,6,4,5,1,2
164,IL,2004,0,0,1,0,0,0,0,0,0,0,0
165,IL,2006,0,0,0,4,6,1,4,3,0,1,0
166,IL,2007,0,1,6,5,2,2,4,0,1,1,0
167,IL,2008,0,0,1,9,5,1,1,2,1,0,0
168,IL,2009,0,0,4,4,5,3,2,1,3,0,0
169,IL,2010,0,0,4,12,5,0,2,0,0,0,0
170,IL,2011,1,2,3,6,3,5,2,0,0,0,0
171,IL,2012,0,1,1,4,2,1,3,0,0,1,0
172,IL,2013,0,0,2,8,6,1,0,1,1,0,0
173,IL,2014,0,2,1,8,1,4,1,0,0,0,0
174,IL,2015,0,0,6,7,4,1,0,0,1,0,0
175,IL,2016,1,3,7,8,4,2,1,0,0,0,0
176,IL,2017,0,0,2,9,5,1,1,0,0,0,0
177,IN,2014,2,0,0,4,4,5,4,1,0,0,0
178,IN,2015,1,0,1,1,4,0,0,1,1,0,0
179,IN,2016,0,2,0,3,6,4,5,1,0,0,0
180,IN,2017,2,0,2,4,2,4,1,3,0,0,0
181,KS,2000,1,5,6,12,12,3,6,1,0,1,0
182,KS,2001,0,5,2,12,10,7,5,2,2,1,0
183,KS,2002,0,7,9,7,6,3,3,0,4,0,0
184,KS,2003,2,8,8,26,9,6,8,2,4,1,0
185,KS,2004,1,7,5,21,18,8,7,1,5,2,0
186,KS,2005,0,5,5,14,5,10,4,3,2,1,0
187,KS,2006,0,4,7,21,13,13,7,1,1,0,0
188,KS,2007,0,4,7,23,14,12,5,2,1,1,0
189,KS,2008,1,14,7,23,11,7,7,3,1,1,0
190,KS,2009,1,10,10,20,14,11,3,4,3,0,0
191,KS,2010,0,5,4,16,9,9,6,6,1,1,0
192,KS,2011,0,5,9,18,13,11,1,5,1,0,0
193,KS,2012,0,6,2,14,14,8,3,1,4,0,0
194,KS,2013,0,9,3,25,13,10,10,3,1,0,0
195,KS,2014,1,6,3,15,11,6,4,2,4,0,0
196,KS,2015,0,9,2,23,12,14,9,6,0,0,0
197,KS,2016,0,5,5,16,19,12,13,3,1,2,0
198,KS,2017,0,11,7,23,17,11,14,11,0,2,0
199,KY,1998,0,0,0,2,0,0,0,0,0,0,0
200,KY,1999,1,0,0,2,1,0,0,0,0,0,0
201,KY,2000,0,0,0,3,0,0,0,1,1,0,0
202,KY,2001,0,0,0,2,1,0,0,2,0,0,0
203,KY,2002,0,0,1,5,3,1,0,0,0,0,0
204,KY,2003,1,0,0,4,2,2,0,0,1,0,0
205,KY,2004,1,2,4,3,4,2,2,0,0,0,0
206,KY,2005,0,0,2,1,4,2,0,0,0,0,0
207,KY,2006,0,0,2,3,1,4,1,1,0,0,0
208,KY,2007,1,2,2,1,2,2,1,0,0,0,0
209,KY,2008,0,1,1,6,2,1,0,0,0,1,0
210,KY,2009,0,11,5,17,14,22,10,9,4,2,0
211,KY,2010,3,5,0,20,20,22,15,6,6,4,1
212,KY,2011,1,7,3,13,21,11,17,6,8,2,0
213,KY,2012,2,6,9,28,35,18,22,8,5,3,0
214,KY,2013,2,5,6,26,28,24,22,8,4,1,0
215,KY,2014,0,4,10,38,34,22,14,14,1,4,0
216,KY,2015,3,13,9,71,40,22,33,21,3,2,0
217,KY,2016,2,8,28,86,52,33,26,16,12,4,0
218,KY,2017,1,13,31,79,60,26,35,10,7,1,0
219,LA,2003,0,0,3,3,4,5,0,2,0,0,1
220,LA,2004,1,0,2,12,3,2,1,0,0,0,0
221,LA,2005,0,0,2,5,5,5,1,0,0,0,0
222,LA,2006,2,0,5,11,6,3,2,5,1,0,0
223,LA,2007,3,0,7,11,9,9,1,2,0,1,0
224,LA,2008,3,1,3,5,7,5,6,0,1,1,0
225,LA,2009,1,0,3,5,6,7,4,1,0,1,0
226,LA,2010,2,1,5,8,7,4,2,1,1,1,0
227,LA,2011,2,0,4,11,8,4,3,3,1,0,0
228,LA,2012,0,0,2,6,3,2,0,0,1,0,0
229,LA,2013,1,0,1,7,11,4,4,1,2,0,0
230,LA,2014,4,1,1,8,6,4,2,2,0,1,0
231,LA,2015,1,1,4,13,11,7,2,0,0,0,0
232,LA,2016,0,3,5,11,10,4,4,2,2,1,0
233,LA,2017,4,0,14,19,7,5,8,6,0,0,0
234,MA,1995,3,0,0,2,5,2,0,0,0,0,0
235,MA,1996,1,4,4,14,5,2,0,2,0,2,0
236,MA,1997,1,1,2,6,10,1,1,2,0,1,0
237,MA,1998,2,1,0,19,8,2,1,0,1,0,0
