,State,Origin,Agency Name,Agency Type Name,State Abbr,Division Name,Region Name,Region Desc,County Name,NIBRS,Latitude,Longitude,NIBRS Start Date
7150,MI,MI3513500,Iosco County Sheriff's Office,County,MI,East North Central,Midwest,Region II,IOSCO,True,44.329482,-82.849447,05/01/1996
7151,MI,MI3536500,Tawas Police Department,City,MI,East North Central,Midwest,Region II,IOSCO,True,44.329482,-82.849447,01/01/1995
7152,MI,MI3563900,Oscoda Township Police Department,City,MI,East North Central,Midwest,Region II,IOSCO,True,44.40959,-83.32964,01/01/1995
7153,MI,MI3603600,State Police: Iron County,State Police,MI,East North Central,Midwest,Region II,IRON,True,46.170249,-88.540409,01/01/1998
7154,MI,MI3613600,Iron County Sheriff's Office,County,MI,East North Central,Midwest,Region II,IRON,True,46.096672,-88.334755,01/01/1995
7155,MI,MI3629500,Caspian-Gaastra Police Department,City,MI,East North Central,Midwest,Region II,IRON,True,46.170249,-88.540409,01/01/1995
7156,MI,MI3633800,Crystal Falls Police Department,City,MI,East North Central,Midwest,Region II,IRON,True,46.097473,-88.31495,01/01/1995
7157,MI,MI3649300,Iron River Police Department,City,MI,East North Central,Midwest,Region II,IRON,True,46.091503,-88.63911,01/01/1995
7158,MI,MI3703700,State Police: Isabella County,State Police,MI,East North Central,Midwest,Region II,ISABELLA,True,43.645233,-84.839424,01/01/1998
7159,MI,MI3713700,Isabella County Sheriff's Office,County,MI,East North Central,Midwest,Region II,ISABELLA,True,43.60544,-84.77493,12/01/1994
7160,MI,MI3759900,Mount Pleasant Police Department,City,MI,East North Central,Midwest,Region II,ISABELLA,True,43.597168,-84.76741,01/01/1995
7161,MI,MI3774100,Shepherd Police Department,City,MI,East North Central,Midwest,Region II,ISABELLA,True,43.645233,-84.839424,01/01/1999
7162,MI,MI3787000,Central Michigan University,University or College,MI,East North Central,Midwest,Region II,ISABELLA,True,43.645233,-84.839424,01/01/1995
7163,MI,MI3803800,State Police: Jackson County,State Police,MI,East North Central,Midwest,Region II,JACKSON,True,42.28854,-84.39886,01/01/1998
7164,MI,MI3813800,Jackson County Sheriff's Office,County,MI,East North Central,Midwest,Region II,JACKSON,True,42.244713,-84.40929,06/01/1996
7165,MI,MI3832600,Columbia Township Police Department,City,MI,East North Central,Midwest,Region II,JACKSON,True,42.248474,-84.420868,09/01/1995
7166,MI,MI3849700,Jackson Police Department,City,MI,East North Central,Midwest,Region II,JACKSON,True,42.245647,-84.40347,01/01/1997
7167,MI,MI3860600,Napoleon Township Police Department,City,MI,East North Central,Midwest,Region II,JACKSON,True,42.248474,-84.420868,01/01/1997
7168,MI,MI3875500,Spring Arbor Township Police Department,City,MI,East North Central,Midwest,Region II,JACKSON,True,42.248474,-84.420868,01/01/1995
7169,MI,MI3875800,Springport Township Police Department,City,MI,East North Central,Midwest,Region II,JACKSON,False,42.248474,-84.420868,03/01/2003
7170,MI,MI3889000,Blackman Township Police Department,City,MI,East North Central,Midwest,Region II,JACKSON,True,42.289722,-84.38438,06/01/1996
7171,MI,MI3903900,State Police: Kalamazoo County,State Police,MI,East North Central,Midwest,Region II,KALAMAZOO,True,42.246266,-85.532854,01/01/1998
7172,MI,MI3913900,Kalamazoo County Sheriff's Office,County,MI,East North Central,Midwest,Region II,KALAMAZOO,True,42.277348,-85.54824,01/01/1999
7173,MI,MI3922600,Augusta Police Department,City,MI,East North Central,Midwest,Region II,KALAMAZOO,False,42.246266,-85.532854,01/01/1997
7174,MI,MI3941700,Galesburg Police Department,City,MI,East North Central,Midwest,Region II,KALAMAZOO,True,42.288937,-85.41258,01/01/1997
7175,MI,MI3949900,Kalamazoo Police Department,City,MI,East North Central,Midwest,Region II,KALAMAZOO,True,42.28092,-85.58168,01/01/2000
7176,MI,MI3950000,Kalamazoo Township Police Department,City,MI,East North Central,Midwest,Region II,KALAMAZOO,True,42.308212,-85.57017,01/01/1996
7177,MI,MI3952500,Kalamazoo Valley Community College,University or College,MI,East North Central,Midwest,Region II,KALAMAZOO,True,42.229942,-85.68291,01/01/2011
7178,MI,MI3967800,Portage Police Department,City,MI,East North Central,Midwest,Region II,KALAMAZOO,True,42.201576,-85.5913,01/01/1995
7179,MI,MI3969800,Richland Police Department,City,MI,East North Central,Midwest,Region II,KALAMAZOO,True,42.246266,-85.532854,05/01/2002
7180,MI,MI3973600,Schoolcraft Police Department,City,MI,East North Central,Midwest,Region II,KALAMAZOO,True,42.246266,-85.532854,01/01/1995
7181,MI,MI3979900,Vicksburg Police Department,City,MI,East North Central,Midwest,Region II,KALAMAZOO,True,42.12075,-85.53094,01/01/1995
7182,MI,MI3988100,Western Michigan University,University or College,MI,East North Central,Midwest,Region II,KALAMAZOO,True,42.287663,-85.6042,01/01/1995
7183,MI,MI4004000,State Police: Kalkaska County,State Police,MI,East North Central,Midwest,Region II,KALKASKA,True,44.678881,-85.088992,01/01/1998
7184,MI,MI4014000,Kalkaska County Sheriff's Office,County,MI,East North Central,Midwest,Region II,KALKASKA,True,44.678881,-85.088992,01/01/1996
7185,MI,MI4050200,Kalkaska Police Department,City,MI,East North Central,Midwest,Region II,KALKASKA,True,44.678881,-85.088992,01/01/1996
7186,MI,MI4089200,Garfield Township Police Department,City,MI,East North Central,Midwest,Region II,KALKASKA,True,44.583958,-85.18563,09/01/2009
7187,MI,MI4104100,State Police: Kent County,State Police,MI,East North Central,Midwest,Region II,KENT,True,43.127083,-85.55078,01/01/1998
7188,MI,MI4114100,Kent County Sheriff's Office,County,MI,East North Central,Midwest,Region II,KENT,True,42.976032,-85.630035,01/01/1996
7189,MI,MI4136100,East Grand Rapids Police Department,City,MI,East North Central,Midwest,Region II,KENT,True,42.95203,-85.612,01/01/1996
7190,MI,MI4142900,Grand Rapids Community College,University or College,MI,East North Central,Midwest,Region II,KENT,True,42.96581,-85.66637,01/01/1998
7191,MI,MI4143600,Grand Rapids Police Department,City,MI,East North Central,Midwest,Region II,KENT,True,42.963238,-85.66699,01/01/2002
7192,MI,MI4143700,Grandville Police Department,City,MI,East North Central,Midwest,Region II,KENT,True,42.906746,-85.762924,01/01/1996
7193,MI,MI4144100,Gerald R. Ford International Airport,Other,MI,East North Central,Midwest,Region II,KENT,True,42.88585,-85.53164,01/01/2009
7194,MI,MI4153900,Lowell Police Department,City,MI,East North Central,Midwest,Region II,KENT,True,42.93503,-85.33708,01/01/1996
7195,MI,MI4170400,Rockford Police Department,City,MI,East North Central,Midwest,Region II,KENT,True,43.032497,-85.547446,01/01/1995
7196,MI,MI4172900,Sand Lake Police Department,City,MI,East North Central,Midwest,Region II,KENT,True,43.032497,-85.547446,01/01/1995
7197,MI,MI4175400,Sparta Police Department,City,MI,East North Central,Midwest,Region II,KENT,True,43.16087,-85.71644,01/01/1996
7198,MI,MI4180200,Walker Police Department,City,MI,East North Central,Midwest,Region II,KENT,True,43.032497,-85.547446,01/01/1996
7199,MI,MI4183400,Wyoming Police Department,City,MI,East North Central,Midwest,Region II,KENT,True,42.921856,-85.69716,01/01/1999
7200,MI,MI4185000,Kentwood Police Department,City,MI,East North Central,Midwest,Region II,KENT,True,42.880886,-85.59636,01/01/1996
7201,MI,MI4204200,State Police: Keweenaw County,State Police,MI,East North Central,Midwest,Region II,KEWEENAW,True,47.681974,-88.148797,01/01/1998
7202,MI,MI4214200,Keweenaw County Sheriff's Office,County,MI,East North Central,Midwest,Region II,KEWEENAW,True,47.412884,-88.29463,01/01/1996
7203,MI,MI4304300,State Police: Lake County,State Police,MI,East North Central,Midwest,Region II,LAKE,True,43.013462,-85.65585,01/01/1998
7204,MI,MI4314300,Lake County Sheriff's Office,County,MI,East North Central,Midwest,Region II,LAKE,True,43.995187,-85.8114,01/01/1996
