State,Year,Acquaintance,Babysittee,Boyfriend or Girlfriend,Child of Boyfriend or Girlfriend,Child,Common Law Spouse,Employee,Employer,Friend,Grandchild,Grandparent,Homosexual Relationship,In-Law,Neighbor,Other Family Member,Otherwise Known,Parent,Unknown,Sibling,Stepchild,Spouse,Stepparent,Stepsibling,Stranger,Offender,Ex-Spouse
CT,2016,11,0,7,0,0,0,0,0,2,0,0,0,1,0,0,3,1,18,0,0,2,0,0,7,0,0
CT,2017,13,0,2,0,1,0,0,0,1,0,0,0,0,0,2,8,0,5,1,0,2,0,0,10,0,0
DC,2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
DC,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
DE,2007,4,0,3,0,1,0,0,0,1,0,0,0,0,0,1,5,0,28,0,0,0,0,0,13,0,0
DE,2008,14,0,4,0,0,0,0,0,0,0,0,0,0,0,0,12,0,20,0,0,3,0,0,25,0,0
DE,2009,10,0,1,2,2,0,0,0,1,0,0,0,0,0,0,2,0,20,0,0,2,0,0,12,0,0
DE,2010,15,0,3,0,2,0,0,0,5,0,0,0,0,0,0,11,1,24,0,0,1,0,0,13,0,0
DE,2011,11,0,1,1,0,0,0,0,2,0,0,0,0,2,0,3,0,25,0,0,4,0,0,17,0,0
DE,2012,12,0,2,1,2,0,0,0,3,0,0,0,1,0,1,8,0,18,0,0,0,1,0,14,0,0
DE,2013,3,0,1,0,0,0,0,0,1,0,0,0,1,0,0,5,2,12,0,0,2,0,0,10,0,0
DE,2014,2,1,2,1,4,0,0,0,0,0,0,0,0,0,0,3,1,23,0,0,2,0,0,25,0,0
DE,2015,8,1,1,1,3,0,0,0,2,0,0,0,1,0,0,9,0,20,0,0,3,0,0,18,1,0
DE,2016,9,0,2,0,0,0,0,0,0,1,0,0,0,0,0,11,1,13,0,0,1,0,0,15,1,1
DE,2017,11,0,2,0,4,0,0,0,0,0,0,0,0,0,0,14,0,17,1,0,1,0,0,10,0,1
GA,2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0
GA,2008,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IA,2007,15,1,5,0,3,0,0,0,1,0,0,0,0,1,0,0,1,7,1,0,2,1,0,4,0,0
IA,2008,25,0,6,2,12,0,0,0,1,0,0,0,0,1,1,7,0,14,1,3,6,0,0,11,0,1
IA,2009,7,0,2,1,2,1,0,0,0,0,0,0,0,1,2,4,1,16,1,1,4,0,0,2,0,1
IA,2010,13,0,5,2,2,0,0,0,2,0,0,0,1,1,0,3,0,1,0,0,5,1,0,7,1,0
IA,2011,8,0,2,0,7,1,0,0,4,0,0,0,0,0,2,8,1,20,1,0,4,0,0,7,0,1
IA,2012,11,0,3,0,4,0,0,0,2,0,2,0,0,0,0,10,1,25,0,0,4,0,0,3,0,0
IA,2013,10,1,8,0,1,1,0,0,1,0,0,1,0,0,0,5,4,19,0,0,0,0,0,3,1,0
IA,2014,21,0,6,1,2,0,0,0,1,0,0,0,0,0,1,1,5,18,1,1,6,0,0,2,0,1
IA,2015,26,0,8,0,4,0,0,0,5,0,1,0,0,1,0,7,2,28,2,0,3,0,0,6,0,0
IA,2016,18,0,5,1,4,0,0,0,3,0,1,0,1,0,0,10,4,29,1,0,3,0,0,5,0,1
IA,2017,20,0,4,2,0,0,0,0,1,0,3,0,0,0,0,11,8,37,3,1,2,1,0,14,0,2
ID,2007,23,0,4,0,3,0,0,0,4,0,0,0,2,0,1,6,1,9,1,0,4,0,0,6,0,0
ID,2008,8,0,1,0,3,0,0,0,0,0,0,2,0,0,1,1,1,19,0,0,5,0,0,0,0,0
ID,2009,3,0,1,1,5,0,0,0,1,1,0,0,1,0,1,2,1,6,0,0,3,0,0,2,0,0
ID,2010,4,1,2,1,2,1,0,0,0,0,0,0,0,1,0,2,1,0,0,1,5,0,0,1,0,0
ID,2011,11,0,3,2,5,1,1,0,0,0,0,0,0,0,1,11,1,1,0,1,1,0,0,2,0,2
ID,2012,9,0,0,0,2,0,0,0,1,0,1,0,0,0,1,0,3,7,1,0,6,0,0,2,0,1
ID,2013,7,0,3,0,0,1,0,0,2,0,0,0,0,0,0,2,2,8,0,1,3,0,0,2,0,0
ID,2014,3,1,3,0,1,1,0,0,0,0,0,0,0,0,0,18,2,12,1,2,3,0,0,4,0,1
ID,2015,12,0,2,0,0,1,0,0,4,0,0,0,2,0,0,1,1,9,0,0,3,1,0,7,0,0
ID,2016,15,0,5,0,9,0,0,0,5,0,0,0,1,0,0,1,0,6,1,1,2,0,0,15,0,0
ID,2017,8,0,2,1,3,0,0,0,0,0,0,0,0,1,1,0,2,1,0,2,2,0,0,4,0,2
IL,2007,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,36,0,0,0,0,0,25,1,0
IL,2008,12,0,6,0,0,0,0,0,3,0,0,1,0,0,0,3,0,22,0,0,0,0,0,0,0,0
IL,2009,14,0,1,0,0,0,0,0,1,0,0,0,0,0,1,3,2,36,0,0,1,0,0,0,0,0
IL,2010,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,57,0,0,0,0,0,2,2,0
IL,2011,4,0,1,1,3,0,0,0,1,0,0,0,0,0,1,1,0,24,1,0,0,0,0,1,1,1
IL,2012,4,0,3,2,0,0,0,0,0,0,0,0,0,2,0,1,0,24,0,0,0,0,0,3,1,0
IL,2013,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,56,0,0,0,0,0,0,0,0
IL,2014,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,3,0,25,0,0,0,0,0,1,0,0
IL,2015,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,4,0,33,0,0,1,0,0,0,1,0
IL,2016,9,1,3,0,0,0,0,0,0,0,0,1,0,8,0,3,0,32,0,0,0,0,0,9,0,0
IL,2017,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,33,1,0,0,0,0,1,0,0
IN,2014,3,0,1,1,1,0,0,0,2,0,0,0,0,0,0,2,0,6,1,0,0,0,0,10,0,1
IN,2015,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,8,0,0,0,0,0,1,0,0
IN,2016,4,0,0,0,1,0,0,0,3,0,0,0,0,0,1,6,2,3,0,0,1,1,0,2,0,0
IN,2017,2,0,1,0,0,0,0,0,5,0,0,0,0,2,1,3,0,5,0,0,0,0,0,0,0,0
KS,2007,21,0,2,0,4,0,0,0,4,2,0,1,0,0,4,11,0,34,0,0,4,1,0,31,0,0
KS,2008,29,1,4,2,7,0,0,0,5,0,0,0,0,0,2,7,1,21,0,2,1,0,0,18,1,1
KS,2009,25,1,3,2,12,0,0,0,2,0,0,0,1,0,2,1,2,29,2,2,6,0,0,20,0,3
KS,2010,20,0,5,2,2,1,0,0,1,0,0,0,0,0,2,2,4,18,1,1,7,0,1,8,0,1
KS,2011,18,1,6,2,0,1,0,0,3,1,2,0,0,1,0,9,1,23,1,0,8,0,0,11,0,0
KS,2012,15,0,5,1,4,0,0,0,8,0,2,0,0,0,0,4,0,8,1,0,6,0,0,18,0,0
KS,2013,36,0,4,1,6,0,0,0,5,0,0,0,0,1,1,9,4,17,4,0,7,0,0,28,0,1
KS,2014,17,0,3,4,4,0,0,0,3,0,0,0,0,1,3,6,0,16,1,0,1,0,0,19,1,0
KS,2015,22,0,7,2,7,0,0,0,3,0,0,1,1,0,3,4,1,26,1,0,5,1,0,21,0,0
KS,2016,35,2,3,0,3,0,0,0,2,0,2,0,0,0,2,21,2,19,1,1,3,0,0,19,1,1
KS,2017,42,0,9,3,10,0,0,0,1,0,0,0,0,0,1,19,3,24,1,0,3,0,1,12,3,0
KY,2007,3,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,7,0,0
KY,2008,5,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,4,0,0
KY,2009,42,0,6,2,11,0,0,0,5,0,0,0,0,3,4,10,4,11,3,1,6,1,1,14,1,2
KY,2010,28,0,10,1,5,0,0,0,8,0,0,0,2,4,5,2,7,2,1,1,15,0,0,10,0,2
KY,2011,41,0,4,3,6,0,0,0,6,0,1,0,0,2,4,6,2,3,2,0,11,0,0,9,0,0
KY,2012,61,1,9,1,8,0,0,0,4,1,0,0,0,3,6,13,7,11,0,1,10,1,0,21,0,1
KY,2013,38,1,14,1,4,0,0,0,11,0,2,2,3,0,1,4,1,5,3,0,14,0,0,19,0,0
KY,2014,44,1,13,2,1,0,0,0,5,0,0,0,1,2,5,15,2,17,3,0,12,0,0,38,0,1
KY,2015,45,1,13,2,9,0,0,0,18,0,1,2,1,3,8,14,6,28,2,0,14,0,1,26,0,1
KY,2016,114,0,14,1,9,0,0,0,14,0,1,1,0,1,8,20,5,31,3,0,12,3,0,48,0,1
KY,2017,93,1,15,5,9,1,0,0,11,1,0,0,1,4,10,19,3,22,2,1,20,1,1,51,0,0
LA,2007,8,0,3,0,1,1,0,0,1,0,0,0,0,0,0,8,0,22,1,1,3,1,0,2,0,0
LA,2008,6,0,1,0,2,1,0,0,0,0,0,0,0,1,0,10,0,13,0,0,3,3,0,2,0,1
LA,2009,8,0,0,0,1,1,0,0,0,0,0,0,0,1,2,6,0,6,0,0,3,0,0,4,0,1
LA,2010,10,0,2,0,0,0,0,0,3,0,0,0,1,0,0,10,0,15,0,0,3,0,0,1,1,0
LA,2011,6,0,5,0,1,0,0,0,1,0,0,0,1,0,0,8,1,14,0,0,4,1,0,1,0,0
LA,2012,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0
LA,2013,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,23,1,10,0,0,1,1,0,3,0,0
LA,2014,5,0,2,0,2,0,0,0,1,0,1,0,0,0,0,12,0,8,1,0,6,0,0,0,0,0
LA,2015,4,0,2,0,2,0,0,0,1,0,0,0,0,0,0,6,0,23,0,0,1,0,0,0,0,1
LA,2016,7,0,3,0,2,0,0,0,0,0,2,0,0,0,1,6,0,26,1,0,0,0,0,0,0,0
LA,2017,16,0,2,0,1,0,0,0,4,0,0,0,0,0,1,10,0,46,1,0,2,1,0,2,1,0
MA,2007,17,0,10,0,7,0,0,0,3,0,0,1,0,0,0,11,1,27,0,2,10,2,0,20,0,3
MA,2008,10,0,7,0,2,0,0,0,2,0,0,0,0,0,2,14,1,41,1,0,1,0,0,17,0,1
MA,2009,15,0,7,1,4,0,0,0,1,1,1,0,0,1,6,17,1,33,1,0,7,0,0,10,0,0
MA,2010,22,0,10,0,5,0,0,0,5,0,0,0,1,1,1,20,2,50,2,0,9,0,0,24,0,0
MA,2011,18,0,4,0,3,0,0,0,4,0,0,1,3,1,1,16,2,24,4,1,7,0,0,31,0,0
MA,2012,5,0,4,0,1,0,0,0,1,0,1,0,1,0,0,9,1,16,0,0,3,1,0,9,1,0
MA,2013,20,0,8,0,4,0,0,0,6,0,0,0,0,0,1,9,4,24,0,0,3,0,0,11,0,2
MA,2014,14,0,5,0,0,0,1,0,3,0,0,0,0,0,1,14,3,21,0,0,2,0,0,9,0,0
MA,2015,19,0,6,1,2,0,0,0,1,0,0,1,0,3,0,12,2,22,1,0,4,0,0,17,0,0
MA,2016,11,0,4,0,1,0,0,0,2,0,0,0,0,3,0,16,2,15,0,0,4,0,0,16,0,1
MA,2017,20,0,7,0,1,0,0,0,4,0,2,0,0,1,0,14,6,27,1,0,3,1,0,9,0,0
MD,2017,9,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,11,0,0,0,0,0,4,0,0
ME,2007,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ME,2008,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,1,0,0,1,0,0,0,0
ME,2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0
ME,2010,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
